"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.140,0.134,0.411,0.149,0.156,0.132,0.480,0.282,0.086,0.145,0.106,0.028,0.163,0.101,0.397,0.405,0.349,0.183,0,0.589,0.093,0.079,0.071,0.102,0.090,0.209,0,0,0.118,0.116,0,0.138,0.056,0.051,0,0.083,0.070,0.144,0,0,0.082,0.097,0.305,0,0.121,0.095,0.397,0.309,0.151,0.152,0.504,0.096
1994,0.127,0.145,0.228,0.070,0.150,0.153,0.273,0.123,0.067,0.108,0.102,0.028,0.118,0.108,0.502,0.149,0.191,0.194,0,0.183,0.088,0.065,0.071,0.102,0.058,0.134,0,0,0.079,0.073,0,0.136,0.057,0.045,1.000,0.081,0.055,0.113,0,0,0.080,0.095,0.305,0,0.136,0.124,0.363,0.179,0.173,0.185,0.093,0.092
1995,0.133,0.151,0.176,0.073,0.161,0.162,0.188,0.150,0.059,0.098,0.131,0.020,0.116,0.096,0.309,0.219,0.222,0.224,0,0.216,0.067,0.056,0.070,0.074,0.052,0.121,0,0,0.092,0.091,0,0.103,0.058,0.042,0,0.867,0.050,0.102,0,0,0.077,0.090,0.305,0,0.098,0.077,0.437,0.177,0.193,0.207,0.093,0.093
1996,0.132,0.154,0.181,0.062,0.158,0.167,0.199,0.110,0.058,0.096,0.120,0.020,0.110,0.104,0.334,0.128,0.198,0.210,0,0.170,0.067,0.056,0.070,0.074,0.052,0.121,0,0,0.118,0.119,0,0.109,0.038,0.044,0,0.010,0.050,0.102,0,0,0.070,0.082,0.305,0,0.123,0.101,0.472,0.211,0.195,0.212,0.093,0.093
1997,0.102,0.122,0.128,0.054,0.128,0.141,0.122,0.083,0.042,0.060,0.148,0.020,0.106,0.109,0.185,0.096,0.114,0.167,0,0.068,0.050,0.022,0.070,0.072,0.032,0.075,0,0,0.073,0.084,0,0,0.045,0.054,0,0.007,0.049,0.095,0.088,0,0.047,0.051,0.305,0,0.162,0.142,0.216,0.210,0.147,0.164,0.084,0.062
1998,0.091,0.103,0.381,0.050,0.112,0.117,0.431,0.076,0.039,0.053,0.116,0.020,0.106,0.115,0.275,0.082,0.118,0.186,0,0.058,0.055,0.035,0.070,0.072,0.029,0.068,0,0,0.080,0.093,0,0,0.041,0.050,0,0.007,0.034,0.066,0.088,0,0.041,0.044,0.191,0,0.156,0.145,0.275,0.180,0.116,0.118,0.472,0.065
1999,0.086,0.097,0.297,0.051,0.109,0.110,0.342,0.093,0.026,0.047,0.071,0,0.088,0.085,0.341,0.091,0.113,0.163,0,0.071,0.013,0.030,0,0,0.023,0.055,0,0,0.056,0.066,0,0,0.032,0.038,0,0.007,0.033,0.070,0,0,0.036,0.039,0.191,0,0.124,0.097,0.341,0.188,0.125,0.125,0.342,0.097
2000,0.132,0.155,0.310,0.065,0.172,0.190,0.342,0.096,0.031,0.033,0.106,0.028,0.087,0.081,0.341,0.096,0.119,0.161,0,0.084,0.070,0.029,0,0.104,0.017,0.040,0,0,0.056,0.066,0,0,0.029,0.036,0,0,0.005,0.009,0.024,0,0.036,0.038,0.446,0,0.119,0.090,0.341,0.189,0.238,0.260,0.342,0.097
2001,0.140,0.166,0.336,0.066,0.183,0.203,0.406,0.099,0.032,0.034,0.105,0.028,0.091,0.083,0.653,0.098,0.112,0.156,0,0.076,0.067,0.025,0,0.103,0.020,0.047,0,0,0.068,0.075,0,0.023,0.032,0.040,0,0,0.007,0.009,0.076,0,0.035,0.038,0.446,0,0.129,0.090,0.653,0.201,0.256,0.281,0.342,0.100
2002,0.155,0.187,0.330,0.066,0.203,0.230,0.406,0.098,0.037,0.043,0.105,0.028,0.120,0.127,0.653,0.096,0.124,0.183,0,0.076,0.070,0.029,0,0.103,0.028,0.065,0,0,0.100,0.113,0,0.023,0.035,0.044,0,0,0.019,0.034,0.070,0,0.033,0.035,0.446,0,0.189,0.180,0.653,0.189,0.269,0.296,0.342,0.100
2003,0.180,0.224,0.360,0.065,0.239,0.276,0.414,0.097,0.037,0.043,0.122,0.028,0.129,0.142,0.694,0.090,0.159,0.261,0,0.075,0.070,0.029,0,0.103,0.026,0.061,0,0,0.087,0.097,0,0.023,0.042,0.053,0,0,0.018,0.033,0.071,0,0.037,0.039,0.446,0,0.186,0.180,0.694,0.174,0.326,0.363,0.342,0.108
2004,0.190,0.218,0.376,0.039,0.275,0.270,0.404,0.404,0.024,0.041,0.179,0,0.168,0.161,0.657,0.253,0.300,0.328,0,0.163,0.013,0.028,0,0,0.030,0.071,0,0,0.069,0.069,0,0,0.049,0.049,0,0,0.006,0.009,0.096,0,0.036,0.039,0.446,0,0.226,0.209,0.657,0.524,0.349,0.343,0.354,1.000
2005,0.183,0.204,0.379,0.066,0.258,0.250,0.404,0.565,0.038,0.045,0.179,0.028,0.162,0.152,0.657,0.392,0.288,0.285,0,0.320,0.074,0.038,0,0.103,0.032,0.076,0,0,0.046,0.046,0,0,0.049,0.049,0,0,0.006,0.009,0.127,0,0.037,0.039,0.237,0,0.228,0.212,0.657,0.524,0.322,0.316,0.354,1.000
2006,0.188,0.211,0.337,0.066,0.264,0.258,0.361,0.565,0.041,0.051,0.160,0.028,0.186,0.177,0.657,0.392,0.282,0.278,0,0.320,0.074,0.038,0,0.103,0.037,0.085,0,0,0.089,0.090,0,0,0.049,0.049,0,0,0.016,0.031,0.137,0,0.037,0.039,0.275,0,0.281,0.267,0.657,0.524,0.317,0.312,0.305,1.000
2007,0.175,0.202,0.028,0.040,0.247,0.247,0,0.381,0.039,0.048,0.181,0.027,0.217,0.216,0,0.307,0.293,0.295,0,0.244,0.069,0.026,0,0.103,0.041,0.096,0,0,0.155,0.155,0,0,0.031,0.031,0,0,0.015,0.031,0,0,0.025,0.026,0.275,0,0.359,0.359,0,0.380,0.266,0.268,0,0.730
2008,0.162,0.191,0.026,0.032,0.225,0.233,0,0.107,0.035,0.049,0.118,0.017,0.184,0.178,0,0.450,0.291,0.274,0,0.545,0.046,0.024,0,0.064,0.041,0.096,0,0,0.130,0.130,0,0,0.029,0.029,0,0,0.015,0.030,0,0,0.030,0.031,0.152,0,0.280,0.277,0,0.380,0.252,0.269,0,0.028
2009,0.156,0.194,0.059,0.033,0.212,0.234,0.037,0.082,0.033,0.059,0.147,0,0.164,0.170,0.508,0.136,0.207,0.251,0,0.101,0.007,0.016,0,0,0.058,0.135,0,0,0.097,0.101,0.283,0.069,0.032,0.032,0,0,0.015,0.030,0,0,0.029,0.031,0.204,0,0.248,0.274,1.000,0.169,0.246,0.275,0,0.015
2010,0.147,0.183,0.059,0.035,0.194,0.218,0.035,0.062,0.042,0.063,0.184,0.015,0.134,0.144,0.308,0.095,0.149,0.200,0,0.067,0.038,0.015,0,0.056,0.068,0.158,0,0,0.091,0.095,0.149,0.069,0.036,0.036,0,0,0.015,0.030,0,0,0.024,0.025,0.282,0,0.202,0.227,1.000,0.125,0.238,0.267,0,0.015
2011,0.123,0.146,0.138,0.049,0.161,0.173,0.118,0.095,0.037,0.054,0.168,0.015,0.138,0.143,0.308,0.116,0.164,0.196,0,0.111,0.042,0.024,0,0.056,0.055,0.128,0,0,0.081,0.083,0.149,0.069,0.045,0.043,0,1.000,0.014,0.029,0,0,0.021,0.021,0.282,0,0.199,0.223,1.000,0.125,0.178,0.193,0,0.067
2012,0.102,0.122,0.060,0.038,0.131,0.142,0.035,0.070,0.036,0.053,0.217,0.015,0.104,0.102,0.308,0.108,0.165,0.194,0,0.116,0.042,0.024,0,0.056,0.051,0.118,0,0,0.070,0.069,0.149,0.068,0.045,0.043,0,1.000,0.016,0.032,0,0,0.021,0.022,0.367,0,0.118,0.121,1.000,0.105,0.152,0.169,0,0.012
2013,0.116,0.112,0.190,0.122,0.122,0.125,0.210,0.081,0.102,0.063,0.079,0.153,0.094,0.076,0.758,0.123,0.124,0.128,0,0.116,0.042,0.022,0.087,0.059,0.214,0.129,0,0.284,0.062,0.063,0.149,0.052,0.042,0.026,1.000,1.000,0.018,0.037,0,0,0.041,0.043,0.168,0,0.117,0.093,0.780,0.114,0.142,0.159,0.028,0.012
2014,0.092,0.101,0.180,0.047,0.112,0.110,0.195,0.105,0.041,0.063,0.059,0.014,0.088,0.072,0.780,0.113,0.115,0.124,0,0.100,0.038,0.024,0.074,0.048,0.055,0.126,0,0,0.061,0.062,0,0.052,0.035,0.021,1.000,0.494,0.019,0.036,0,0,0.038,0.043,0.108,0,0.115,0.093,0.776,0.112,0.129,0.133,0.065,0.047
