"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,194540,56806,84728,19524,15244,17424,18360,19128,10768,13370,27716,53006
2008,131340,36234,61636,14154,10554,10592,13936,13242,7078,8010,20304,33470
2009,110216,31272,51952,12664,9344,9148,11250,10878,6070,6710,17160,26992
2010,97030,26658,46492,11526,8044,7738,10304,9092,5274,5602,15570,23880
2011,86512,23758,43034,11108,6990,6708,9826,7562,5128,4932,14538,19720
2012,98174,26032,50746,12588,8300,7312,11828,9490,4962,5458,16840,21396
2013,110102,30586,56566,14036,9468,8702,13420,10400,6100,6316,18710,22950
2014,107896,29164,55444,14012,9118,8154,12914,10144,5786,6106,18374,23288
2015,120406,32642,61144,15412,10370,9340,14060,11360,6352,6580,20312,26620
2016,134612,37790,66302,16804,11620,11124,14516,12914,7510,7536,22068,30520
2017,146050,42332,70730,17666,13096,12556,15692,14172,8292,8388,23200,32988
2018,75334,22390,35381,8537,7031,6741,7982,7268,4405,4213,11594,17563
2019,77438,23631,35920,8748,7289,7170,7784,7322,4897,4275,12066,17887
2020,81514,26179,37500,9000,8090,8018,8343,7688,5541,4530,12469,17835
2021,92092,28652,41510,9580,8770,8618,9393,8953,5853,5411,13584,21930
2022,76509,23599,34135,7953,7397,7328,7446,7426,4614,4260,11310,18775
2023,59615,18975,26321,6135,5853,5854,5728,5796,3900,3368,8662,14319
2024,60538,19195,26711,5893,5849,5767,5770,5953,3794,3785,9095,14632
