"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.155,0.136,0.330,0.153,0.176,0.137,0.372,0.293,0.098,0.133,0.228,0.025,0.180,0.121,0.296,0.388,0.292,0.178,0.183,0.536,0.103,0.089,0.203,0.086,0.096,0.181,0.280,0,0.157,0.142,0.232,0.207,0.089,0.064,0.332,0.129,0.075,0.113,0.157,0,0.124,0.117,0.256,0,0.169,0.120,0.363,0.344,0.171,0.150,0.446,0.137
1994,0.156,0.139,0.322,0.146,0.180,0.146,0.366,0.257,0.085,0.110,0.212,0.025,0.178,0.122,0.292,0.312,0.292,0.194,0.202,0.458,0.095,0.082,0.161,0.086,0.072,0.130,0.280,0,0.139,0.128,0.216,0.136,0.082,0.059,0.332,0.107,0.065,0.097,0.135,0,0.123,0.115,0.257,0,0.175,0.129,0.350,0.243,0.183,0.164,0.436,0.136
1995,0.159,0.145,0.303,0.146,0.187,0.155,0.348,0.261,0.077,0.103,0.193,0.018,0.173,0.117,0.254,0.317,0.312,0.222,0.197,0.467,0.081,0.076,0.166,0.062,0.066,0.119,0.252,0,0.149,0.143,0.206,0.134,0.074,0.055,0.240,0.114,0.062,0.095,0.122,0,0.112,0.108,0.219,0,0.146,0.092,0.308,0.245,0.200,0.185,0.438,0.137
1996,0.159,0.148,0.304,0.138,0.187,0.159,0.352,0.239,0.076,0.100,0.188,0.018,0.173,0.123,0.259,0.297,0.304,0.217,0.215,0.448,0.083,0.077,0.175,0.062,0.064,0.119,0.201,0,0.147,0.143,0.187,0.145,0.067,0.057,0.271,0.041,0.062,0.095,0.122,0,0.104,0.097,0.218,0,0.162,0.111,0.305,0.261,0.200,0.187,0.440,0.130
1997,0.123,0.123,0.279,0.064,0.145,0.135,0.315,0.104,0.064,0.077,0.188,0.017,0.138,0.133,0.245,0.116,0.153,0.204,0.217,0.067,0.073,0.058,0.170,0.061,0.047,0.083,0.204,0,0.142,0.142,0.186,0.098,0.071,0.064,0.278,0.031,0.060,0.091,0.121,0,0.083,0.070,0.219,0,0.176,0.143,0.270,0.240,0.151,0.137,0.379,0.081
1998,0.115,0.113,0.269,0.065,0.136,0.124,0.303,0.106,0.061,0.071,0.185,0.017,0.142,0.139,0.235,0.119,0.168,0.226,0.214,0.073,0.073,0.058,0.163,0.061,0.048,0.083,0.235,0,0.131,0.135,0.145,0.089,0.073,0.056,0.270,0.086,0.056,0.085,0.116,0,0.071,0.056,0.208,0,0.179,0.157,0.269,0.210,0.130,0.113,0.364,0.081
1999,0.110,0.106,0.263,0.067,0.133,0.117,0.296,0.123,0.050,0.064,0.179,0.000,0.121,0.106,0.234,0.129,0.164,0.201,0.207,0.100,0.042,0.054,0.154,0.001,0.041,0.068,0.235,0,0.100,0.095,0.145,0.087,0.061,0.041,0.270,0.086,0.050,0.078,0.078,0,0.071,0.056,0.213,0,0.143,0.106,0.271,0.204,0.143,0.126,0.352,0.111
2000,0.144,0.151,0.254,0.082,0.178,0.178,0.286,0.129,0.053,0.053,0.176,0.026,0.120,0.104,0.220,0.131,0.165,0.194,0.203,0.114,0.086,0.054,0.172,0.091,0.030,0.049,0.162,0,0.105,0.106,0.142,0.054,0.059,0.039,0.250,0.087,0.033,0.048,0.075,0,0.073,0.058,0.220,0,0.137,0.102,0.249,0.196,0.232,0.235,0.351,0.125
2001,0.155,0.165,0.264,0.083,0.193,0.195,0.302,0.131,0.053,0.053,0.172,0.026,0.128,0.109,0.275,0.130,0.158,0.184,0.243,0.104,0.083,0.051,0.160,0.090,0.031,0.054,0.141,0,0.128,0.134,0.130,0.078,0.060,0.041,0.245,0.087,0.035,0.048,0.122,0,0.071,0.056,0.211,0,0.155,0.109,0.365,0.201,0.253,0.262,0.329,0.131
2002,0.168,0.183,0.270,0.082,0.210,0.217,0.305,0.130,0.059,0.061,0.185,0.026,0.151,0.143,0.286,0.129,0.173,0.209,0.251,0.104,0.084,0.054,0.156,0.090,0.044,0.082,0.126,0,0.156,0.162,0.174,0.078,0.062,0.045,0.249,0.087,0.034,0.049,0.099,0,0.076,0.055,0.262,0,0.200,0.176,0.365,0.193,0.263,0.275,0.324,0.131
