"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,1950.7,2965.6,813.6,353.6,725.6,514.6,1597.1,2240.0,299.0,,,,135.2,185.1,149.9,92.9,104.2,133.0,,,,,,,69.8,219.8,121.4,55.7,216.5,110.3,,,,,,
2011,1878.7,3110.7,701.6,345.0,838.5,410.9,1533.7,2272.2,290.7,,,,126.1,245.0,99.5,81.5,127.4,121.1,,,,,,,80.7,243.2,87.1,56.7,222.9,103.2,,,,,,
2012,1999.5,2805.0,668.3,440.4,846.0,308.0,1559.1,1959.0,360.3,,,,166.6,240.0,64.0,105.9,133.4,90.7,,,,,,,80.6,230.1,100.3,87.3,242.5,53.0,,,,,,
2013,2024.4,2612.3,1048.0,379.1,797.8,417.5,1645.3,1814.5,630.5,,,,130.1,194.8,145.7,82.3,136.9,110.8,,,,,,,112.4,229.4,69.2,54.3,236.7,91.8,,,,,,
2014,2022.5,2174.2,1421.0,397.6,631.4,613.9,1624.9,1542.8,807.1,,,,120.1,149.2,203.3,66.6,133.6,142.8,,,,,,,93.3,192.2,141.9,117.6,156.4,125.9,,,,,,
2015,2051.6,2340.2,1178.8,404.4,667.1,523.9,1647.2,1673.1,654.9,,,,118.4,172.2,180.8,77.3,163.2,89.5,,,,,,,110.0,162.1,138.9,98.7,169.6,114.7,,,,,,
2016,2020.4,2626.7,1082.9,331.9,993.3,344.8,1688.5,1633.4,738.1,,,,98.5,262.8,114.1,69.7,177.9,102.8,,,,,,,97.2,272.7,65.7,66.5,279.9,62.2,,,,,,
2017,2010.4,2831.8,896.8,331.9,993.3,344.8,1678.5,1838.5,552.0,398.2,465.5,229.5,98.5,262.8,114.1,69.7,177.9,102.8,484.1,545.0,87.9,249.2,216.7,79.6,97.2,272.7,65.7,66.5,279.9,62.2,377.4,415.9,84.6,169.6,195.4,70.4
2018,1939.1,2723.3,1052.6,361.5,773.4,535.0,1577.6,1949.9,517.6,371.7,481.9,219.6,87.6,219.5,168.7,90.3,184.5,75.5,460.8,583.2,79.0,226.0,258.1,66.2,108.7,185.5,141.0,74.9,183.9,149.8,371.9,403.1,94.8,147.2,223.6,58.0
2019,1733.7,2746.9,1268.8,383.9,895.2,411.4,1349.8,1851.7,857.4,303.4,470.1,313.1,106.9,246.4,122.5,92.7,190.5,82.3,394.5,568.7,162.2,173.1,242.4,134.3,98.5,255.8,81.0,85.8,202.5,125.6,345.3,362.0,170.3,133.5,208.5,77.5
2020,1697.6,2697.2,1829.0,530.3,785.2,806.6,1167.3,1912.0,1022.4,266.0,504.9,324.8,139.8,221.4,288.1,161.5,128.2,166.0,367.9,521.6,238.2,135.1,260.2,157.2,162.8,167.3,175.7,66.2,268.3,176.8,276.5,398.9,201.0,121.8,226.4,101.2
2021,1426.4,3324.9,1464.6,191.5,1415.0,516.1,1234.9,1909.9,948.5,290.9,523.2,287.2,36.4,397.0,216.2,51.7,334.8,69.3,371.9,500.3,252.0,130.5,278.7,140.5,45.4,367.9,92.5,58.0,315.3,138.1,292.1,404.3,171.6,149.5,203.4,97.2
2022,1440.7,3326.9,1425.8,169.0,1449.5,503.7,1271.7,1877.4,922.1,282.5,500.4,316.8,26.0,407.7,216.0,51.1,334.7,69.9,391.4,488.4,242.3,141.1,265.7,130.2,46.3,370.4,89.1,45.6,336.7,128.7,299.9,414.6,154.4,156.8,208.3,78.4
2023,1371.9,3395.2,1039.7,160.7,1456.3,134.0,1211.2,1938.9,905.7,288.3,495.7,295.2,24.5,411.6,40.4,52.8,326.6,41.1,380.7,496.2,243.0,141.3,296.4,108.3,45.7,366.3,27.0,37.7,351.8,25.5,254.4,427.1,194.5,146.5,223.5,64.7
