"year","patco_commuter_rail","patco_heavy_rail","patco_streetcar","patco_hybrid_rail","patco_all","njt_commuter_rail","njt_heavy_rail","njt_streetcar","njt_hybrid_rail","njt_all","septa_commuter_rail","septa_heavy_rail","septa_streetcar","septa_hybrid_rail","septa_all","all_commuter_rail","all_heavy_rail","all_streetcar","all_hybrid_rail","all_all"
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,8.3,1.59,1.09,0.0,10.98,8.3,1.59,1.09,0.1,11.080000000000002
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.11,1.42,0.95,0.0,9.48,7.11,1.42,0.95,0.1,9.58
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,9.49,1.86,0.59,0.0,11.94,9.49,1.86,0.59,0.1,12.04
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,9.49,1.86,0.59,0.0,11.94,9.49,1.86,0.59,0.1,12.040000000000001
