"year","bucks","burlington","camden","chester","delaware","gloucester","mercer","montgomery","philadelphia"
2001,0.10415742882977388,0.07706721069347329,0.08144409513175381,0.09119024098285221,0.08761652545781594,0.03690168581808353,0.07966367301757897,0.19373650524988015,0.24822263481878823
2002,0.10495217091235767,0.07838077685799587,0.08191671068510686,0.09123384009160976,0.08690718085345651,0.03772701626947254,0.0801527600525908,0.19281040711595035,0.24591913716145963
2003,0.10559880213668421,0.08005210270488257,0.08233967113125744,0.09169142227400227,0.08639096664716919,0.039061038389127126,0.08079597019541072,0.19046493636990747,0.243605090151559
2004,0.1068193779303852,0.0811650600686544,0.08347069370116551,0.09296789634846102,0.08581926395890208,0.03985434381313223,0.08145077805269145,0.19114027995311067,0.23731230617349744
2005,0.10804821823607884,0.08165030305398287,0.0832209245859792,0.09483639178154066,0.08508923549027889,0.04076576869907884,0.08053830921119139,0.18978751800865656,0.23606333093321277
2006,0.10818271974123858,0.0820624628106739,0.08256015135102146,0.09602245853866927,0.08492043391361397,0.041003921089971467,0.08099293593518758,0.18943136566833987,0.23482355095128388
2007,0.10892175217866677,0.08140119640458662,0.08175060167828893,0.09801826116554496,0.08559496254501865,0.04086025323907115,0.07968576999622907,0.18975866358050422,0.2340085392120896
2008,0.10758341159250955,0.08052157330469342,0.08101915478890705,0.09893208822059765,0.0858480931688357,0.04072134927312637,0.07967238755482764,0.1909298089377025,0.23477213315880013
2009,0.1067518396524363,0.08091065518224116,0.07972589048319809,0.09923585437885904,0.08622951855666086,0.040689090071874295,0.0794899805780805,0.18940068146978314,0.2375664896268666
2010,0.10694304269267227,0.0795920621140496,0.07875090879529789,0.09922418791279246,0.08700138965154411,0.039786674683493825,0.07979176700482543,0.18779959568195692,0.2411103714633675
2011,0.10662032319114864,0.07915938758674237,0.07793013296452661,0.09950168632018246,0.08784181346144514,0.03919784539234241,0.07973959091570826,0.18776295676226526,0.24224626340563887
2012,0.10550236886051997,0.07964484255674335,0.07716908671649494,0.09941535787649887,0.08883784010025877,0.03903636428238913,0.07948465013312231,0.1885332336045162,0.24237625586945644
2013,0.10505012870884704,0.07866570640121506,0.07719589415212601,0.09983789578267577,0.089684395924101,0.03925500989976635,0.07945721233037885,0.1884241663636126,0.24242959043727733
2014,0.10504974738557138,0.077966244274662,0.07715160400012035,0.09939750502176511,0.08977721384847574,0.03931011739991594,0.07963612539676837,0.1880449129964771,0.24366652967624403
2015,0.10494335588368844,0.07844132405262644,0.07643909392404918,0.09947781654318576,0.08920284398871141,0.03963622464521988,0.07938970347336778,0.18784551186623827,0.24462412562291286
2016,0.10462298986255612,0.07819227324762772,0.07625970109962402,0.09986116127772038,0.08861289535848708,0.04004347866354469,0.07939879774142207,0.1868628314399122,0.24614587130910573
2017,0.10430331341614087,0.07839308537152112,0.07608352780080854,0.09891978282307334,0.08878332982688271,0.040356712466164596,0.07841630811941912,0.18677337335018274,0.247970566825807
2018,0.10399586267739531,0.07664558529859779,0.07570822314597317,0.09827689422665313,0.08887583903555185,0.04081504603423287,0.07885358788877034,0.18559336029256782,0.2512356014002577
2019,0.10270030533354411,0.07553673471700129,0.07560984426856186,0.09720791655043777,0.08842802593959262,0.04123540574182454,0.08000343156271532,0.1855250641664459,0.25375327171987655
2020,0.10194266881011711,0.0767333454210253,0.07470221839225989,0.09815337476422656,0.08802170821646293,0.04176457368186116,0.08085284212562534,0.1867554049889082,0.2510738635995135
2021,0.1021089649497225,0.07735905223750619,0.07534513549041379,0.09824121549017542,0.08786013151810859,0.04256908059486252,0.08024435703777902,0.18857818019394817,0.24769388248748378
2022,0.10241990500519495,0.07696414534750115,0.0755421536234313,0.09782747837066276,0.08701088188677635,0.04340827664987798,0.08006671948154367,0.18813140725256908,0.24862903238244277
