"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,781.6,687.8,455.6,448.4,295.8,210.8,333.2,392.0,244.8,,,,170.7,104.7,59.6,126.8,36.5,63.4,,,,,,,31.3,102.8,29.5,119.6,51.8,58.3,,,,,,
2011,747.7,722.8,420.7,419.6,344.9,190.1,328.1,377.9,230.6,,,,151.6,134.5,49.1,122.9,35.2,68.1,,,,,,,32.5,101.5,29.6,112.6,73.7,43.3,,,,,,
2012,828.0,735.2,726.4,409.4,378.9,166.3,418.6,356.3,560.1,,,,155.1,141.1,39.0,113.0,48.5,64.7,,,,,,,38.2,100.7,24.7,103.1,88.6,37.9,,,,,,
2013,977.0,895.8,789.2,438.5,458.7,230.8,538.5,437.1,558.4,,,,167.6,159.4,41.4,109.1,48.1,96.8,,,,,,,56.0,146.7,37.9,105.8,104.5,54.7,,,,,,
2014,1010.9,867.4,824.2,457.6,463.0,242.3,553.3,404.4,581.9,,,,164.9,153.5,52.0,110.7,59.7,83.8,,,,,,,67.3,150.5,39.2,114.7,99.3,67.3,,,,,,
2015,997.6,888.4,769.0,443.8,442.3,242.9,553.8,446.1,526.1,,,,165.1,141.8,62.3,105.6,60.8,87.6,,,,,,,62.7,139.0,38.9,110.4,100.7,54.1,,,,,,
2016,961.3,876.4,751.1,399.5,420.4,253.9,561.8,456.0,497.2,,,,140.0,129.2,54.6,75.5,54.8,65.9,,,,,,,73.2,141.2,48.8,110.8,95.2,84.6,,,,,,
2017,977.6,889.4,719.8,399.5,420.4,253.9,578.1,469.0,465.9,153.6,137.9,72.9,140.0,129.2,54.6,75.5,54.8,65.9,105.4,158.1,32.6,87.4,41.9,88.3,73.2,141.2,48.8,110.8,95.2,84.6,158.2,92.6,106.1,73.5,38.5,166.0
2018,960.9,990.0,738.7,407.2,529.2,252.5,553.7,460.8,486.2,163.2,134.4,70.8,143.0,172.5,57.4,104.2,91.5,65.1,99.7,155.4,40.0,83.5,39.3,94.5,65.1,151.8,46.3,94.9,113.4,83.7,136.4,86.8,122.5,70.9,44.9,158.4
2019,972.9,991.0,737.9,403.6,517.1,273.4,569.3,473.9,464.5,163.8,131.4,71.5,131.3,180.0,61.7,111.3,77.5,72.2,97.5,163.8,35.3,87.4,38.2,90.7,64.6,147.9,50.7,96.4,111.7,88.8,143.9,98.3,115.6,76.7,42.2,151.4
2020,985.4,1064.6,741.3,396.9,614.5,243.7,588.5,450.1,497.6,168.6,118.7,79.5,112.0,206.7,54.7,118.6,124.7,72.5,104.2,156.4,37.3,93.9,36.9,86.9,66.2,157.6,43.8,100.1,125.5,72.7,137.6,101.8,122.8,84.2,36.3,171.1
2021,972.1,1164.7,646.5,380.6,717.2,157.3,591.5,447.5,489.2,171.7,112.0,86.6,105.7,240.2,27.5,112.7,159.9,43.2,105.6,151.1,36.3,91.4,37.7,90.7,61.5,180.0,26.1,100.7,137.1,60.5,141.4,110.5,105.6,81.4,36.2,170.0
2022,920.3,1186.6,668.0,350.0,738.4,166.9,570.3,448.2,501.1,168.5,113.1,85.4,95.5,247.5,30.5,105.6,163.6,46.6,98.3,161.7,33.6,82.2,38.2,99.3,53.4,184.1,30.1,95.5,143.2,59.7,134.9,106.3,111.7,86.4,28.9,171.1
2023,944.0,1182.4,650.2,366.0,723.0,170.6,578.0,459.4,479.6,161.2,127.0,80.2,91.5,250.2,31.9,112.9,154.2,53.6,98.2,157.0,36.0,95.8,37.1,84.7,58.7,177.6,31.3,102.9,141.0,53.8,134.7,109.5,119.1,88.1,28.8,159.6
