"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,118160,35782,43640,11866,9758,13148,7534,11172,8148,4728,13068,38738
2008,79428,22026,30672,8026,5898,8388,5448,7924,4776,2964,9274,26730
2009,44540,10982,17034,4534,2950,3992,3120,4344,2534,1506,5036,16524
2010,40724,10422,15028,4082,2700,3624,2714,3590,2496,1602,4642,15274
2011,40398,10282,14810,3836,2998,3490,2312,4330,2156,1638,4332,15306
2012,42864,11210,16280,4280,3076,3766,2796,4390,2780,1588,4814,15374
2013,39968,10240,15602,4250,2924,3408,2696,3938,2368,1540,4718,14126
2014,38072,9098,14950,4252,2618,3002,2668,3440,2234,1244,4590,14024
2015,38118,9326,15724,4048,2608,3232,3460,3588,2262,1224,4628,13068
2016,37926,9904,16300,4100,2644,3408,3668,3780,2438,1414,4752,11722
2017,37222,10560,15490,4202,3042,3622,3118,3334,2472,1424,4836,11172
2018,26159,6150,12953,3548,1786,1989,2540,2566,1228,1147,4299,7056
2019,25575,6101,12086,3314,1780,1926,2257,2555,1261,1134,3960,7388
2020,19589,4601,9904,2752,1432,1418,1889,1833,937,814,3430,5084
2021,23385,5369,12067,3434,1611,1714,2191,2371,1199,845,4071,5949
2022,31186,7923,16141,4362,2388,2538,3181,3207,1819,1178,5391,7122
2023,25557,6770,12699,3360,2020,2311,2425,2615,1449,990,4299,6088
2024,25224,7193,12231,3066,2153,2286,2468,2651,1569,1185,4046,5800
