"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,337202,113064,136364,37880,33340,36776,25694,30598,22620,20328,42192,87774
2008,259406,77976,117998,32252,23402,24212,23810,25762,16302,14060,36174,63432
2009,341192,102232,181904,48096,32144,27648,41798,32688,20446,21994,59322,57056
2010,295498,85426,164072,43288,27140,23600,37250,29544,16748,17938,53990,46000
2011,259664,73978,143190,37336,23700,19888,32204,26338,13778,16612,47312,42496
2012,335572,96650,184712,49242,30668,25954,40916,33008,18576,21452,61546,54210
2013,260932,76022,134558,34912,24314,21178,29450,25298,15056,15474,44898,50352
2014,120500,33938,56656,15080,10396,10018,11640,12034,7154,6370,17902,29906
2015,151268,42880,75626,20170,13304,11962,16104,14654,9024,8590,24698,32762
2016,171454,48166,87198,23626,15426,13474,18910,16166,9970,9296,28496,36090
2017,114240,31372,53600,14712,9728,9294,11148,10478,6600,5750,17262,29268
2018,60036,15190,29975,8147,4871,4379,6342,5830,3120,2820,9656,14871
2019,80795,20476,42043,11450,6654,5681,9192,7634,4172,3969,13767,18276
2020,168461,45580,93371,25121,14848,12185,21626,15573,9354,9193,31051,29510
2021,180113,52503,95586,25358,16822,14709,21537,17029,10741,10231,31662,32024
2022,65184,18679,31020,8157,5731,5868,6365,6444,3935,3145,10054,15485
2023,35747,10393,16080,4202,3115,3332,3120,3589,2192,1754,5169,9274
2024,42625,13980,18805,4818,4383,4387,3839,4204,2850,2360,5944,9840
