"year","patco_passenger","patco_admin","patco_all","njt_passenger","njt_admin","njt_all","septa_passenger","septa_admin","septa_all","part_passenger","part_admin","part_all","all_passenger","all_admin","all_all"
2019,0,0,0.000,0,0,0.000,0.024,0,0.022,0,0,0.000,0.021,0.000,0.019
2020,0,0,0.000,0,0,0.000,0.014,0.036,0.015,0,0,0.000,0.012,0.021,0.013
2021,0,0,0.000,0,0,0.000,0.013,0.036,0.015,0,0,0.000,0.012,0.021,0.012
2022,0,0,0.000,0,0,0.000,0.020,0.036,0.021,0,0,0.000,0.017,0.021,0.018
