"year","DVRPC- All","DVRPC- State","DVRPC- Local","DVRPC- Other","Pennsylvania All Counties- All","Pennsylvania All Counties- State","Pennsylvania All Counties- Local","Pennsylvania All Counties- Other","New Jersey Suburbs- All","New Jersey Suburbs- State","New Jersey Suburbs- Local","New Jersey Suburbs- Other","Pennsylvania Suburbs- All","Pennsylvania Suburbs- State","Pennsylvania Suburbs- Local","Pennsylvania Suburbs- Other","Bucks- All","Bucks- State","Bucks- Local","Bucks- Other","Burlington- All","Burlington- State","Burlington- Local","Burlington- Other","Camden- All","Camden- State","Camden- Local","Camden- Other","Chester- All","Chester- State","Chester- Local","Chester- Other","Delaware- All","Delaware- State","Delaware- Local","Delaware- Other","Gloucester- All","Gloucester- State","Gloucester- Local","Gloucester- Other","Mercer- All","Mercer- State","Mercer- Local","Mercer- Other","Montgomery- All","Montgomery- State","Montgomery- Local","Montgomery- Other","Philadelphia- All","Philadelphia- State","Philadelphia- Local","Philadelphia- Other"
2000,0.139,0.151,0.254,0.075,0.178,0.178,0.286,0.128,0.053,0.053,0.176,0.033,0.120,0.104,0.220,0.130,0.164,0.194,0.203,0.111,0.110,0.054,0.172,0.134,0.022,0.049,0.162,0,0.105,0.106,0.142,0.054,0.059,0.039,0.250,0.087,0.027,0.048,0.075,0,0.073,0.058,0.220,0,0.137,0.102,0.249,0.196,0.232,0.235,0.351,0.125
2001,0.150,0.165,0.264,0.076,0.193,0.195,0.302,0.130,0.053,0.053,0.172,0.033,0.127,0.109,0.275,0.129,0.157,0.184,0.243,0.102,0.107,0.051,0.160,0.133,0.023,0.054,0.140,0,0.128,0.134,0.130,0.078,0.060,0.041,0.245,0.087,0.029,0.048,0.122,0,0.071,0.056,0.211,0,0.155,0.109,0.365,0.201,0.253,0.262,0.329,0.131
2002,0.163,0.183,0.270,0.076,0.210,0.217,0.305,0.129,0.057,0.061,0.185,0.033,0.151,0.143,0.286,0.128,0.172,0.209,0.251,0.102,0.108,0.054,0.156,0.133,0.033,0.082,0.126,0,0.156,0.162,0.174,0.078,0.062,0.045,0.249,0.087,0.028,0.049,0.099,0,0.076,0.055,0.262,0,0.200,0.176,0.365,0.193,0.263,0.275,0.324,0.131
2003,0.177,0.208,0.233,0.076,0.230,0.248,0.266,0.127,0.057,0.062,0.154,0.036,0.157,0.154,0.280,0.123,0.196,0.251,0.247,0.104,0.103,0.052,0.097,0.137,0.036,0.086,0.126,0.002,0.145,0.149,0.176,0.078,0.068,0.061,0.159,0.070,0.027,0.048,0.076,0,0.075,0.056,0.241,0,0.200,0.175,0.388,0.187,0.295,0.319,0.252,0.135
2004,0.170,0.200,0.235,0.072,0.221,0.238,0.268,0.118,0.059,0.067,0.158,0.035,0.161,0.161,0.284,0.116,0.202,0.273,0.267,0.084,0.102,0.052,0.107,0.133,0.044,0.107,0.124,0.002,0.125,0.125,0.165,0.083,0.067,0.058,0.182,0.070,0.026,0.046,0.076,0,0.074,0.055,0.243,0,0.214,0.194,0.385,0.193,0.275,0.297,0.251,0.121
2005,0.166,0.192,0.241,0.074,0.214,0.227,0.278,0.121,0.058,0.065,0.153,0.036,0.165,0.164,0.302,0.121,0.194,0.259,0.271,0.084,0.105,0.059,0.091,0.138,0.040,0.095,0.146,0.002,0.113,0.108,0.177,0.083,0.092,0.087,0.220,0.070,0.027,0.047,0.080,0,0.074,0.056,0.235,0,0.219,0.195,0.402,0.206,0.258,0.276,0.255,0.121
2006,0.168,0.196,0.239,0.074,0.218,0.232,0.277,0.121,0.058,0.065,0.148,0.036,0.177,0.180,0.304,0.121,0.191,0.253,0.266,0.084,0.100,0.046,0.093,0.138,0.038,0.095,0.086,0.002,0.127,0.124,0.177,0.099,0.094,0.090,0.220,0.070,0.033,0.058,0.081,0,0.073,0.054,0.242,0,0.248,0.237,0.408,0.203,0.255,0.273,0.250,0.121
2007,0.165,0.188,0.252,0.065,0.212,0.222,0.297,0.103,0.055,0.062,0.129,0.036,0.190,0.198,0.320,0.120,0.200,0.257,0.331,0.092,0.096,0.037,0.080,0.138,0.043,0.110,0.086,0.002,0.150,0.153,0.165,0.102,0.075,0.065,0.227,0.075,0.024,0.041,0.076,0,0.065,0.050,0.203,0,0.285,0.295,0.418,0.187,0.232,0.241,0.279,0.069
2008,0.162,0.182,0.255,0.073,0.215,0.215,0.308,0.157,0.044,0.061,0.114,0.015,0.203,0.178,0.345,0.234,0.305,0.260,0.339,0.399,0.052,0.037,0.067,0.060,0.039,0.102,0.086,0,0.143,0.140,0.237,0.051,0.071,0.057,0.295,0.061,0.024,0.041,0.076,0,0.065,0.054,0.175,0,0.255,0.246,0.413,0.205,0.225,0.243,0.280,0.024
2009,0.161,0.187,0.274,0.048,0.214,0.218,0.334,0.118,0.042,0.072,0.115,0.000,0.190,0.169,0.410,0.171,0.247,0.248,0.329,0.224,0.022,0.033,0.086,0.001,0.050,0.132,0.086,0,0.138,0.122,0.291,0.086,0.074,0.057,0.332,0.066,0.031,0.057,0.065,0,0.061,0.051,0.166,0,0.258,0.235,0.530,0.193,0.235,0.255,0.274,0.027
