Year,Burlington_WA,Burlington_BA,Burlington_IA,Burlington_AA,Burlington_NA,Burlington_TOM,Camden_WA,Camden_BA,Camden_IA,Camden_AA,Camden_NA,Camden_TOM,Gloucester_WA,Gloucester_BA,Gloucester_IA,Gloucester_AA,Gloucester_NA,Gloucester_TOM,Mercer_WA,Mercer_BA,Mercer_IA,Mercer_AA,Mercer_NA,Mercer_TOM,Bucks_WA,Bucks_BA,Bucks_IA,Bucks_AA,Bucks_NA,Bucks_TOM,Chester_WA,Chester_BA,Chester_IA,Chester_AA,Chester_NA,Chester_TOM,Delaware_WA,Delaware_BA,Delaware_IA,Delaware_AA,Delaware_NA,Delaware_TOM,Montgomery_WA,Montgomery_BA,Montgomery_IA,Montgomery_AA,Montgomery_NA,Montgomery_TOM,Philadelphia_WA,Philadelphia_BA,Philadelphia_IA,Philadelphia_AA,Philadelphia_NA,Philadelphia_TOM,NJCnt_WA,NJCnt_BA,NJCnt_IA,NJCnt_AA,NJCnt_NA,NJCnt_TOM,PASub_WA,PASub_BA,PASub_IA,PASub_AA,PASub_NA,PASub_TOM,DVRPC_WA,DVRPC_BA,DVRPC_IA,DVRPC_AA,DVRPC_NA,DVRPC_TOM
2010,-0.009,0.028,0.081,0.114,0.425,0.278,-0.028,0.003,0.714,0.092,-0.022,0.251,-0.006,-0.003,-0.020,0.150,0.442,0.362,-0.026,0.038,1.325,0.140,-0.135,0.305,-0.008,0.001,0.515,0.138,0.452,0.461,0.001,0.017,0.379,0.156,0.566,0.459,-0.031,0.101,0.261,0.081,0.648,0.460,0.000,0.100,0.048,0.273,0.249,0.435,-0.065,0.009,0.805,0.152,0.017,0.538,-0.018,0.018,0.576,0.120,0.012,0.287,-0.008,0.078,0.272,0.181,0.424,0.451,-0.021,0.024,0.591,0.154,0.099,0.419
2011,-0.001,0.005,0.032,0.033,0.070,0.028,-0.004,-0.001,0.012,0.019,0.043,0.032,-0.001,0.009,0.042,0.016,0.073,0.044,-0.006,0.001,0.001,0.024,0.026,0.026,-0.002,0.019,-0.006,0.035,0.016,0.042,0.005,0.005,0.009,0.045,0.024,0.039,-0.007,0.013,0.003,0.035,0.033,0.051,0.001,0.018,0.014,0.034,-0.005,0.040,0.002,0.008,0.013,0.035,0.020,0.036,-0.003,0.002,0.015,0.024,0.043,0.031,0.000,0.014,0.005,0.036,0.013,0.043,-0.001,0.008,0.012,0.032,0.026,0.037
2012,-0.001,0.002,0.050,0.015,0.016,0.021,-0.005,0.000,0.016,0.011,0.017,0.022,-0.002,0.010,0.039,0.018,0.087,0.015,-0.002,0.004,-0.019,0.030,0.022,0.033,-0.004,0.023,-0.008,0.035,0.080,0.026,0.002,0.005,0.058,0.053,0.000,0.035,-0.004,0.019,0.021,0.026,0.069,0.032,-0.001,0.018,0.030,0.036,0.014,0.047,0.004,0.006,0.012,0.025,0.019,0.036,-0.002,0.003,0.014,0.020,0.026,0.023,-0.002,0.017,0.024,0.036,0.037,0.036,-0.001,0.008,0.015,0.028,0.026,0.032
2013,-0.007,0.005,-0.003,0.004,0.048,0.011,-0.007,0.000,0.016,0.015,0.013,0.025,-0.002,0.007,0.078,0.013,0.023,0.026,-0.005,0.005,0.019,0.035,0.045,0.035,-0.003,0.020,0.011,0.024,-0.017,0.040,0.004,-0.003,0.038,0.045,0.056,0.043,-0.006,0.017,0.049,0.028,0.017,0.038,0.000,0.022,0.006,0.032,0.020,0.038,-0.001,0.004,0.026,0.028,0.043,0.032,-0.005,0.003,0.019,0.020,0.034,0.023,-0.001,0.016,0.023,0.032,0.018,0.039,-0.002,0.006,0.023,0.027,0.033,0.032
2014,-0.004,0.002,0.013,0.016,0.025,0.020,-0.006,-0.001,0.009,0.010,0.010,0.032,-0.001,0.020,-0.010,0.021,0.034,0.031,-0.009,0.004,-0.008,0.027,-0.011,0.040,-0.003,0.027,0.017,0.036,0.009,0.027,0.003,0.014,0.025,0.070,-0.050,0.042,-0.005,0.015,-0.036,0.036,0.017,0.032,0.000,0.013,0.009,0.028,-0.002,0.030,0.002,0.002,0.015,0.025,0.036,0.035,-0.005,0.003,0.003,0.019,0.006,0.030,-0.001,0.016,0.007,0.038,-0.007,0.032,-0.002,0.005,0.010,0.029,0.015,0.033
2015,-0.008,0.004,0.021,0.033,0.045,0.014,-0.005,0.001,-0.011,0.017,0.014,0.039,0.000,0.005,0.054,0.006,0.043,0.020,-0.009,0.000,0.002,0.028,0.034,0.039,-0.003,0.019,0.026,0.033,-0.003,0.030,0.001,-0.002,0.006,0.064,0.036,0.039,-0.005,0.010,0.058,0.031,0.025,0.026,-0.002,0.008,0.016,0.020,0.038,0.041,0.001,0.002,0.022,0.021,0.047,0.027,-0.006,0.002,0.005,0.024,0.031,0.028,-0.002,0.009,0.024,0.033,0.024,0.035,-0.003,0.003,0.018,0.026,0.036,0.030
2016,-0.007,0.006,0.029,0.024,-0.037,0.024,-0.005,0.004,0.006,0.015,0.018,0.017,-0.003,0.006,0.076,0.017,0.021,0.026,-0.008,0.004,-0.014,0.026,0.036,0.024,-0.002,0.025,0.017,0.029,0.011,0.041,0.000,-0.004,0.010,0.054,0.016,0.035,-0.007,0.012,0.080,0.041,0.077,0.026,-0.002,0.019,0.056,0.026,0.011,0.032,0.002,0.000,0.006,0.022,0.028,0.026,-0.006,0.005,0.011,0.021,0.015,0.022,-0.002,0.014,0.039,0.035,0.024,0.033,-0.003,0.004,0.015,0.027,0.023,0.027
2017,-0.006,0.009,-0.006,0.027,0.099,0.022,-0.005,0.001,0.019,0.019,0.090,0.017,-0.003,0.016,0.000,0.024,0.015,0.023,-0.006,0.000,0.014,0.040,0.046,0.029,-0.001,0.018,0.009,0.030,0.043,0.032,0.000,-0.002,-0.016,0.063,-0.016,0.030,-0.008,0.017,-0.009,0.032,0.019,0.028,0.001,0.024,0.041,0.025,0.029,0.034,0.003,-0.002,0.004,0.025,0.016,0.024,-0.005,0.004,0.011,0.029,0.064,0.022,-0.002,0.017,0.009,0.034,0.021,0.031,-0.002,0.003,0.007,0.030,0.033,0.026
2018,-0.007,0.010,0.046,0.013,0.027,0.021,-0.002,0.004,0.016,0.004,0.013,0.023,-0.001,0.013,0.048,0.010,0.025,0.034,-0.007,0.002,0.027,0.026,0.051,0.031,-0.002,0.023,0.026,0.034,-0.005,0.018,0.002,0.006,0.017,0.054,0.016,0.034,-0.005,0.017,0.019,0.027,0.092,0.025,0.000,0.010,-0.008,0.022,0.053,0.031,0.003,-0.004,0.011,0.020,0.021,0.026,-0.004,0.006,0.028,0.015,0.033,0.026,-0.001,0.014,0.012,0.032,0.037,0.027,-0.001,0.002,0.016,0.023,0.029,0.027
2019,-0.003,0.011,0.019,0.022,0.037,0.016,-0.004,0.007,0.030,0.010,0.022,0.025,-0.001,0.007,0.000,0.006,0.088,0.024,-0.008,-0.002,0.028,0.026,0.001,0.015,-0.003,0.022,-0.018,0.030,0.071,0.029,0.002,0.008,0.019,0.046,0.028,0.031,-0.005,0.019,0.042,0.026,0.030,0.021,0.000,0.022,0.037,0.022,0.008,0.028,0.002,-0.006,0.005,0.017,0.006,0.021,-0.004,0.006,0.024,0.019,0.023,0.020,-0.001,0.019,0.019,0.029,0.032,0.027,-0.001,0.002,0.013,0.023,0.018,0.023
2020,0.032,0.041,0.017,0.077,0.117,0.058,0.026,0.042,0.105,0.048,0.067,0.087,0.032,0.058,0.152,0.063,0.121,0.066,0.048,0.050,0.293,0.058,0.149,0.075,0.024,0.053,0.145,0.060,0.164,0.084,0.013,0.013,0.182,0.083,0.155,0.061,0.007,0.032,0.099,0.045,0.180,0.073,0.026,0.041,0.215,0.046,0.212,0.094,0.003,0.009,0.054,0.037,0.112,0.049,0.033,0.046,0.147,0.060,0.117,0.072,0.019,0.034,0.166,0.056,0.181,0.080,0.020,0.024,0.106,0.051,0.132,0.068
2021,-0.002,0.023,0.047,0.035,0.082,0.036,-0.004,0.013,0.028,0.013,0.038,0.032,0.000,0.038,0.054,0.031,0.144,0.045,-0.019,-0.007,0.022,0.016,0.023,0.005,-0.001,0.018,0.020,0.028,0.009,0.022,0.007,0.016,0.005,0.054,0.034,0.043,-0.005,0.010,0.004,0.019,0.117,0.028,0.004,0.023,0.051,0.027,-0.016,0.040,-0.009,-0.012,0.006,0.015,0.006,0.026,-0.006,0.013,0.032,0.021,0.052,0.030,0.001,0.016,0.023,0.031,0.027,0.034,-0.002,0.000,0.018,0.023,0.027,0.030
2022,-0.005,0.023,0.051,0.038,-0.006,0.018,-0.005,0.013,0.037,0.007,0.145,0.036,0.000,0.038,0.081,0.026,0.094,0.047,-0.012,0.000,0.020,0.023,0.046,0.022,-0.006,0.013,-0.002,0.024,0.022,0.022,0.005,0.024,0.047,0.061,0.051,0.028,-0.010,0.014,0.089,0.016,-0.002,0.024,-0.004,0.017,0.048,0.020,0.008,0.028,-0.015,-0.018,0.006,-0.003,0.043,0.012,-0.005,0.015,0.039,0.022,0.068,0.029,-0.004,0.016,0.042,0.028,0.018,0.026,-0.006,-0.002,0.025,0.017,0.045,0.022
2023,-0.001,0.019,0.077,0.041,0.085,0.024,0.000,0.012,0.032,0.019,0.132,0.028,-0.001,0.029,0.027,0.041,0.013,0.036,-0.005,0.007,0.035,0.021,0.014,0.030,-0.003,0.014,0.031,0.028,0.068,0.029,0.003,0.011,0.015,0.035,0.031,0.010,-0.006,0.012,0.062,0.023,0.067,0.035,-0.001,0.018,0.025,0.023,-0.002,0.034,-0.011,-0.015,0.023,0.000,0.043,0.015,-0.001,0.015,0.040,0.027,0.061,0.029,-0.001,0.014,0.031,0.026,0.037,0.029,-0.003,-0.001,0.030,0.019,0.048,0.025
