"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,111.9,316.5,74.8,71.8,202.0,55.8,40.1,114.5,19.0,,,,22.6,31.0,33.6,27.4,22.4,16.6,,,,,,,8.6,56.6,1.6,13.2,92.0,4.0,,,,,,
2011,108.2,358.8,46.7,55.6,248.8,25.2,52.6,110.0,21.5,,,,11.6,73.6,2.0,22.2,25.6,18.6,,,,,,,9.0,57.4,0.4,12.8,92.2,4.2,,,,,,
2012,111.5,361.6,41.2,57.6,252.8,19.2,53.9,108.8,22.0,,,,12.2,74.0,1.0,15.6,36.4,14.4,,,,,,,9.0,57.6,0.2,20.8,84.8,3.6,,,,,,
2013,100.5,375.6,37.7,54.0,259.4,16.2,46.5,116.2,21.5,,,,10.8,74.8,1.6,18.2,38.4,9.8,,,,,,,5.0,61.6,0.2,20.0,84.6,4.6,,,,,,
2014,113.3,361.9,45.0,56.6,261.2,25.4,56.7,100.7,19.6,,,,11.6,74.2,1.4,24.2,37.6,17.4,,,,,,,3.6,62.8,0.4,17.2,86.6,6.2,,,,,,
2015,113.8,353.0,42.8,49.4,261.4,18.8,64.4,91.6,24.0,,,,13.8,71.8,1.6,18.2,35.4,12.8,,,,,,,3.6,62.8,0.4,13.8,91.4,4.0,,,,,,
2016,114.1,351.2,45.2,55.0,260.0,25.6,59.1,91.2,19.6,,,,14.0,72.0,1.6,24.4,34.6,17.8,,,,,,,4.8,62.2,0.4,11.8,91.2,5.8,,,,,,
2017,114.8,353.1,52.1,55.0,260.0,25.6,59.8,93.1,26.5,14.4,14.1,1.9,14.0,72.0,1.6,24.4,34.6,17.8,0.0,0.0,0.0,16.7,30.3,4.1,4.8,62.2,0.4,11.8,91.2,5.8,5.8,27.1,3.1,22.9,21.6,17.4
2018,111.0,364.6,46.7,55.0,262.8,25.1,56.0,101.8,21.6,8.0,23.7,0.0,13.8,72.0,1.8,21.6,40.2,17.5,0.0,0.0,0.0,20.7,25.1,5.2,4.2,62.4,0.8,15.4,88.2,5.0,4.7,29.6,1.3,22.6,23.4,15.1
2019,106.3,369.1,46.6,55.2,259.0,28.7,51.1,110.1,17.9,4.7,28.5,0.0,15.6,70.8,1.2,20.0,40.0,19.3,0.0,0.0,0.0,18.2,27.6,5.1,4.8,62.2,0.4,14.8,86.0,7.8,5.2,29.6,1.3,23.0,24.4,11.5
2020,104.9,374.7,50.4,55.6,262.3,25.3,49.3,112.4,25.1,4.1,32.1,0.7,16.2,70.0,1.4,24.5,38.1,16.4,0.0,0.0,0.0,13.5,29.8,7.7,4.4,62.0,0.8,10.5,92.2,6.7,5.9,29.0,1.1,25.8,21.5,15.6
2021,93.6,390.4,44.8,47.3,273.1,22.5,46.3,117.3,22.3,4.8,32.5,0.0,10.6,75.2,1.4,21.1,42.5,15.5,0.0,0.0,0.0,13.5,33.4,4.2,3.6,63.2,0.4,12.0,92.2,5.2,5.9,29.0,1.1,22.1,22.4,17.0
2022,90.5,398.3,38.6,44.8,278.8,19.7,45.7,119.5,18.9,5.3,32.1,0.5,9.2,77.2,1.2,21.1,42.7,15.3,0.0,0.0,0.0,11.9,35.1,2.5,4.0,62.8,0.4,10.5,96.1,2.8,6.9,28.0,1.1,21.6,24.3,14.8
2023,89.5,395.3,39.8,43.4,274.9,20.0,46.1,120.4,19.8,7.0,30.9,0.0,11.0,75.6,1.0,19.6,39.7,14.8,0.0,0.0,0.0,11.6,37.0,2.5,4.0,63.0,0.2,8.8,96.6,4.0,6.4,28.0,1.7,21.1,24.5,15.6
