"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,63.6,372.1,43.0,52.8,233.8,43.0,10.8,138.3,0.0,,,,32.4,34.4,20.4,15.8,38.4,12.2,,,,,,,3.2,58.6,5.0,1.4,102.4,5.4,,,,,,
2011,60.7,401.2,20.8,49.2,259.6,20.8,11.5,141.6,0.0,,,,27.8,58.8,0.6,8.8,47.8,9.8,,,,,,,0.6,60.8,5.4,12.0,92.2,5.0,,,,,,
2012,48.6,418.8,14.6,30.2,285.8,13.6,18.4,133.0,1.0,,,,9.4,77.8,,12.6,48.8,5.0,,,,,,,0.2,61.2,5.4,8.0,98.0,3.2,,,,,,
2013,62.9,403.5,15.0,37.0,279.6,13.0,25.9,123.9,2.0,,,,11.2,72.6,3.4,7.6,52.6,6.2,,,,,,,0.4,66.4,,17.8,88.0,3.4,,,,,,
2014,92.4,367.1,34.7,57.4,252.4,33.4,35.0,114.7,1.3,,,,15.8,70.8,0.6,9.4,54.0,15.8,,,,,,,0.4,66.4,,31.8,61.2,17.0,,,,,,
2015,96.3,363.9,20.7,56.6,256.0,17.0,39.7,107.9,3.7,,,,24.2,59.0,4.0,4.0,59.0,3.4,,,,,,,9.8,56.8,0.2,18.6,81.2,9.4,,,,,,
2016,74.3,383.0,26.7,29.8,294.0,19.0,44.5,89.0,7.7,,,,4.0,83.4,0.2,14.2,55.8,9.0,,,,,,,1.2,66.2,,10.4,88.6,9.8,,,,,,
2017,72.3,396.6,21.7,29.8,294.0,19.0,42.5,102.6,2.7,14.0,15.0,1.4,4.0,83.4,0.2,14.2,55.8,9.0,0.0,0.0,0.0,15.3,31.7,0.4,1.2,66.2,,10.4,88.6,9.8,4.9,28.5,0.4,8.3,27.4,0.5
2018,91.8,347.0,35.6,62.4,246.5,34.0,29.4,100.5,1.6,0.0,10.9,0.0,14.2,69.4,4.0,21.2,48.6,9.5,0.0,0.0,0.0,16.1,31.0,0.8,3.6,63.4,0.4,23.4,65.1,20.1,1.2,32.1,0.2,12.1,26.5,0.6
2019,77.1,360.3,51.2,42.7,260.2,39.9,34.4,100.1,11.3,0.5,26.4,0.0,7.0,80.2,0.4,11.0,61.1,7.1,0.0,0.0,0.0,25.8,15.2,6.9,6.0,61.2,0.2,18.7,57.7,32.2,0.5,33.1,0.3,7.6,25.4,4.1
2020,143.4,299.4,52.4,113.2,196.4,33.6,30.2,103.0,18.8,0.0,30.1,0.5,33.0,49.0,5.6,31.0,35.4,12.6,0.0,0.0,0.0,19.4,15.1,13.3,40.2,20.2,6.8,9.0,91.8,8.6,0.7,33.2,0.0,10.1,24.6,5.0
2021,38.8,436.0,20.0,15.8,319.6,7.8,23.0,116.4,12.2,1.0,30.6,0.5,0.8,86.0,0.8,7.6,66.2,5.2,0.0,0.0,0.0,12.7,29.8,4.8,4.8,62.4,,2.6,105.0,1.8,1.7,32.3,0.0,7.6,23.7,6.9
2022,51.2,418.0,23.1,20.0,313.1,10.1,31.2,104.9,13.0,1.0,31.1,0.0,0.4,87.2,,7.0,66.0,6.0,0.0,0.0,0.0,14.9,26.9,4.0,5.2,60.2,1.8,7.4,99.7,2.3,3.2,30.3,0.5,12.1,16.6,8.5
2023,38.4,428.5,23.7,10.0,324.1,4.2,28.4,104.4,19.5,0.5,31.1,0.0,0.2,87.4,,4.6,66.5,3.0,0.0,0.0,0.0,12.3,26.7,8.8,3.4,63.4,0.4,1.8,106.8,0.8,5.3,27.9,0.7,10.3,18.7,10.0
