"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,649902,205652,264732,69270,58342,67348,51588,60898,41536,38426,82976,179518
2008,470174,136236,210306,54432,39854,43192,43194,46928,28156,25034,65752,123632
2009,495948,144486,250890,65294,44438,40788,56168,47910,29050,30210,81518,100572
2010,433252,122506,225592,58896,37884,34962,50268,42226,24518,25142,74202,85154
2011,386574,108018,201034,52280,33688,30086,44342,38230,21062,23182,66182,77522
2012,476610,133892,251738,66110,42044,37032,55540,46888,26318,28498,83200,90980
2013,411002,116848,206726,53198,36706,33288,45566,39636,23524,23330,68326,87428
2014,266468,72200,127050,33344,22132,21174,27222,25618,15174,13720,40866,67218
2015,309792,84848,152494,39630,26282,24534,33624,29602,17638,16394,49638,72450
2016,343992,95860,169800,44530,29690,28006,37094,32860,19918,18246,55316,78332
2017,297512,84264,139820,36580,25866,25472,29958,27984,17364,15562,45298,73428
2018,161529,43730,78309,20232,13688,13109,16864,15664,8753,8180,25549,39490
2019,183808,50208,90049,23512,15723,14777,19233,17511,10330,9378,29793,43551
2020,269564,76360,140775,36873,24370,21621,31858,25094,15832,14537,46950,52429
2021,295590,86524,149163,38372,27203,25041,33121,28353,17793,16487,49317,59903
2022,172879,50201,81296,20472,15516,15734,16992,17077,10368,8583,26755,41382
2023,120919,36138,55100,13697,10988,11497,11273,12000,7541,6112,18130,29681
2024,128387,40368,57747,13777,12385,12440,12077,12808,8213,7330,19085,30272
