"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,1396.6,1596.3,354.0,85.2,97.5,126.5,1311.4,1498.8,227.5,,,,16.8,23.5,7.7,10.1,12.7,14.2,,,,,,,46.6,45.6,88.4,11.7,15.7,16.2,,,,,,
2011,1358.8,1647.9,319.7,85.9,128.9,95.4,1272.9,1519.0,224.3,,,,13.6,24.3,10.3,11.6,10.3,15.5,,,,,,,53.3,72.1,55.2,7.4,22.2,14.4,,,,,,
2012,1207.7,1250.8,272.7,102.0,97.6,110.6,1105.7,1153.2,162.1,,,,21.1,12.8,14.3,10.8,10.2,16.4,,,,,,,51.0,58.3,71.3,19.1,16.3,8.6,,,,,,
2013,1153.3,1084.9,321.1,49.6,44.5,42.7,1103.7,1040.4,278.4,,,,5.1,4.6,5.3,2.5,7.0,0.1,,,,,,,41.0,26.8,35.8,1.0,6.1,1.5,,,,,,
2014,1066.1,891.9,481.6,31.2,33.1,72.5,1034.9,858.8,409.1,,,,6.9,6.4,1.7,0.9,4.8,3.9,,,,,,,19.7,18.3,65.6,3.7,3.6,1.3,,,,,,
2015,1133.0,844.7,481.2,25.9,35.6,75.3,1107.1,809.1,405.9,,,,3.8,5.8,5.4,0.2,9.2,0.2,,,,,,,21.7,18.0,63.9,0.2,2.6,5.8,,,,,,
2016,1192.4,880.0,494.2,27.6,86.5,23.5,1164.8,793.5,470.7,,,,0.6,13.5,0.3,0.4,9.7,0.1,,,,,,,24.6,59.8,20.6,2.0,3.5,2.5,,,,,,
2017,1200.0,971.5,395.9,27.6,86.5,23.5,1172.4,885.0,372.4,278.1,235.5,185.4,0.6,13.5,0.3,0.4,9.7,0.1,428.6,314.4,79.4,143.3,95.3,46.1,24.6,59.8,20.6,2.0,3.5,2.5,248.7,189.1,54.8,73.7,50.7,6.7
2018,1155.9,1047.8,363.2,41.2,55.0,41.1,1114.7,992.8,322.1,269.3,268.1,157.5,2.5,11.3,0.7,2.9,7.0,0.4,405.4,354.9,68.8,125.2,127.0,33.4,33.9,36.2,34.5,1.9,0.5,5.5,248.4,193.7,53.3,66.4,49.1,9.1
2019,960.8,1058.5,553.7,33.1,83.6,35.6,927.7,974.9,518.1,225.3,258.5,210.0,2.6,11.2,0.7,2.8,14.6,7.9,329.8,359.9,139.5,91.6,136.1,58.3,27.4,55.0,22.2,0.3,2.8,4.8,228.1,166.5,97.1,52.9,53.9,13.2
2020,853.9,1029.2,707.8,47.4,53.0,51.9,806.5,976.2,655.9,199.5,280.8,219.1,7.0,4.8,2.6,9.8,5.6,10.4,305.1,325.6,199.1,69.9,137.7,79.4,28.6,41.5,34.1,2.0,1.1,4.8,181.7,178.1,133.4,50.3,54.0,24.9
2021,836.8,1113.6,647.6,11.3,122.3,18.7,825.5,991.3,628.9,195.3,312.9,191.3,,14.5,0.1,2.8,17.6,5.3,304.7,303.0,223.6,67.7,142.2,76.2,8.3,82.9,12.9,0.2,7.3,0.4,197.9,179.2,117.7,59.9,54.0,20.1
2022,847.5,1115.9,622.2,12.5,122.3,17.7,835.0,993.6,604.5,191.6,310.7,198.8,1.1,13.2,0.3,2.2,17.1,6.5,309.9,301.7,216.9,76.8,130.6,74.8,9.1,84.2,10.9,0.1,7.8,,196.8,194.2,100.5,59.9,56.4,13.5
2023,803.8,1125.6,640.2,15.5,120.7,16.3,788.3,1004.9,623.9,193.7,292.0,205.8,0.4,14.0,0.2,2.6,18.1,5.0,297.4,315.8,215.9,78.6,138.0,64.9,12.1,81.1,11.1,0.4,7.5,,160.2,204.0,123.1,58.4,55.1,14.2
