"year","Attaining","Insufficient Data","Impaired"
2006,142.7,204.1,684.8
2008,180.2,138.6,712.8
2010,145.2,96.0,789.7
2012,182.8,122.4,725.8
2014,136.4,145.8,749.4
2016,118.0,144.0,769.6
2018,122.2,114.5,794.9
2020,122.2,114.5,794.9
2022,132.0,96.0,803.6
