"Year","All - All","All - Bus","All - Trolleybus","All - Heavy Rail","All - Light Rail","SEPTA - All","SEPTA - Bus","SEPTA - Trolleybus","SEPTA - Heavy Rail","SEPTA - Light Rail","NJ Transit - All","NJ Transit - Bus","NJ Transit - Light Rail","PATCO - Heavy Rail"
2006,12025.6,42.3,,1440.8,10542.5,2302.6,26.8,,628.4,1647.4,8910.6,15.5,8895.1,812.4
2007,11574.9,24.3,,1636.7,9913.9,2248.2,15.5,,636.4,1596.3,8326.4,8.8,8317.6,1000.3
2008,33445.9,22.5,180.7,1661.8,31580.9,4280.7,14.8,180.7,620.1,3465.1,28123.5,7.7,28115.8,1041.7
2009,24681.6,22.6,405.0,1432.1,22821.9,11287.2,15.0,405.0,605.7,10261.5,12568.0,7.6,12560.4,826.4
2010,18434.0,25.3,571.4,3299.7,14537.6,6266.0,15.3,571.4,2365.1,3314.2,11233.4,10.0,11223.4,934.6
2011,6569.6,27.6,582.9,2085.4,3873.7,1723.4,16.6,582.9,1123.9,,3884.7,11.0,3873.7,961.5
2012,31965.2,29.3,604.3,1868.0,29463.6,18369.5,17.2,604.3,1055.0,16693.0,12782.7,12.1,12770.6,813.0
2013,28205.9,29.3,638.2,1186.4,26352.0,15296.1,16.7,638.2,477.2,14164.0,12200.6,12.6,12188.0,709.2
2014,26710.4,27.7,608.8,1368.4,24705.5,17977.4,14.9,608.8,889.9,16463.8,8254.5,12.8,8241.7,478.5
2015,25393.3,33.0,689.4,1816.1,22854.8,5163.9,15.7,689.4,1381.3,3077.5,19794.6,17.3,19777.3,434.8
2016,15292.7,37.2,681.1,2194.1,12380.3,7999.0,20.1,681.1,1729.0,5568.8,6828.6,17.1,6811.5,465.1
2017,22511.6,35.1,562.0,1560.3,20354.2,16086.9,18.5,562.0,1196.7,14309.7,6061.1,16.6,6044.5,363.6
2018,9889.1,36.1,630.5,2097.3,7125.2,5586.1,18.9,630.5,1652.9,3283.8,3858.6,17.2,3841.4,444.4
2019,17155.3,40.1,450.1,4651.8,12013.3,13158.7,18.6,450.1,4182.3,8507.7,3527.1,21.5,3505.6,469.5
2020,36571.4,48.7,561.0,7018.0,28943.7,30825.8,23.5,561.0,6351.3,23890.0,5078.9,25.2,5053.7,666.7
2021,16535.3,48.5,804.3,2738.7,12943.8,8770.4,23.6,804.3,2034.5,5908.0,7060.7,24.9,7035.8,704.2
2022,16258.7,42.5,347.4,2884.8,12984.0,10829.8,21.2,347.4,2399.4,8061.8,4943.5,21.3,4922.2,485.4
2023,,,,,,,,,,,,,,
