"Year","All - All","All - Bus","All - Trolleybus","All - Heavy Rail","All - Light Rail","SEPTA - All","SEPTA - Bus","SEPTA - Trolleybus","SEPTA - Heavy Rail","SEPTA - Light Rail","NJ Transit - All","NJ Transit - Bus","NJ Transit - Light Rail","PATCO - Heavy Rail"
2006,38.8,20.8,,1.8,16.2,37.8,20.2,,1.4,16.2,0.6,0.6,0.0,0.4
2007,27.1,9.7,,2.2,15.2,26.0,9.4,,1.7,14.9,0.6,0.3,0.3,0.5
2008,13.4,3.4,0.0,1.7,8.3,11.2,3.1,0.0,0.8,7.3,1.3,0.3,1.0,0.9
2009,27.5,2.4,15.5,2.6,7.0,24.5,2.2,15.5,0.6,6.2,1.0,0.2,0.8,2.0
2010,15.9,2.7,3.9,2.0,7.3,12.3,2.5,3.9,0.9,5.0,2.5,0.2,2.3,1.1
2011,7.6,0.7,0.3,2.0,4.6,2.7,0.5,0.3,0.2,1.7,3.1,0.2,2.9,1.8
2012,5.6,0.9,0.7,1.3,2.7,2.6,0.7,0.7,0.1,1.1,1.8,0.2,1.6,1.2
2013,8.9,2.0,0.8,1.3,4.8,5.8,1.7,0.8,0.4,2.9,2.2,0.3,1.9,0.9
2014,6.9,2.3,0.0,1.4,3.2,4.7,2.0,0.0,0.5,2.2,1.3,0.3,1.0,0.9
2015,10.6,2.8,0.5,1.7,5.6,6.6,2.3,0.5,0.5,3.3,2.8,0.5,2.3,1.2
2016,11.8,2.7,1.0,1.7,6.4,8.0,2.1,1.0,0.9,4.0,3.0,0.6,2.4,0.8
2017,12.7,2.3,1.8,2.0,6.6,7.2,1.8,1.8,0.7,2.9,4.2,0.5,3.7,1.3
2018,13.7,2.0,2.8,2.2,6.7,8.0,1.5,2.8,0.8,2.9,4.3,0.5,3.8,1.4
2019,12.8,2.1,0.6,2.0,8.1,5.7,1.6,0.6,0.7,2.8,5.8,0.5,5.3,1.3
2020,11.2,1.7,2.0,1.9,5.6,7.2,1.3,2.0,1.0,2.9,3.1,0.4,2.7,0.9
2021,10.1,1.7,1.6,1.4,5.4,6.6,1.3,1.6,0.9,2.8,3.0,0.4,2.6,0.5
2022,11.2,1.7,1.0,1.8,6.7,7.2,1.3,1.0,1.1,3.8,3.3,0.4,2.9,0.7
2023,9.5,1.6,1.0,1.8,5.1,7.4,1.2,1.0,1.2,4.0,1.5,0.4,1.1,0.6
