"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,1295.3,1175.2,900.7,154.9,61.4,92.9,1140.4,1113.8,807.8,,,,15.3,28.5,4.2,17.4,0.7,18.9,,,,,,,99.0,25.4,56.2,23.2,6.8,13.6,,,,,,
2011,1191.3,1119.4,1032.9,144.2,78.8,87.2,1047.1,1040.6,945.7,,,,18.3,24.6,5.3,18.4,0.9,18.1,,,,,,,86.6,41.6,52.4,20.9,11.7,11.4,,,,,,
2012,985.7,874.9,884.3,144.2,83.3,82.7,841.5,791.6,801.6,,,,18.2,24.8,5.2,16.1,0.6,20.7,,,,,,,88.5,47.2,44.9,21.4,10.7,11.9,,,,,,
2013,922.1,806.2,841.2,73.0,20.3,43.5,849.1,785.9,797.7,,,,6.1,6.7,2.2,4.2,3.7,1.7,,,,,,,59.0,8.6,36.0,3.7,1.3,3.6,,,,,,
2014,849.3,686.9,907.2,74.9,23.7,38.2,774.4,663.2,869.0,,,,6.0,6.7,2.3,3.7,3.8,2.1,,,,,,,62.1,10.9,30.6,3.1,2.3,3.2,,,,,,
2015,848.6,639.2,980.5,76.3,16.8,43.7,772.3,622.4,936.8,,,,8.7,4.6,1.7,4.0,3.6,2.0,,,,,,,60.0,6.4,37.2,3.6,2.2,2.8,,,,,,
2016,853.9,734.1,986.9,51.7,45.8,39.9,802.2,688.3,947.0,,,,2.3,10.7,1.4,1.3,7.3,1.6,,,,,,,44.7,25.8,34.3,3.4,2.0,2.6,,,,,,
2017,846.7,737.8,983.4,51.7,45.8,39.9,795.0,692.0,943.5,197.9,251.6,248.1,2.3,10.7,1.4,1.3,7.3,1.6,275.1,237.6,309.4,101.3,59.2,124.5,44.7,25.8,34.3,3.4,2.0,2.6,173.2,129.5,190.6,47.5,14.1,70.9
2018,850.8,736.0,986.1,48.8,51.5,36.9,802.0,684.5,949.2,203.1,249.1,246.5,2.5,10.5,1.4,2.2,6.5,1.6,278.9,234.0,317.3,104.5,66.9,114.7,41.1,32.9,30.6,3.0,1.6,3.3,172.2,118.7,205.0,43.3,15.8,65.7
2019,826.8,808.9,936.3,45.4,57.2,49.6,781.4,751.7,886.7,190.8,285.2,218.7,2.2,10.6,1.7,3.4,7.7,14.1,270.9,255.4,302.9,105.3,64.3,115.8,36.1,37.1,31.4,3.7,1.8,2.4,177.1,123.5,191.4,37.3,23.3,57.9
2020,836.4,829.9,926.3,47.6,61.6,42.8,788.8,768.3,883.5,193.9,284.6,220.8,1.8,10.8,1.7,3.7,8.0,13.9,265.4,258.0,304.8,112.6,67.0,108.3,38.0,41.6,24.6,4.1,1.2,2.6,172.5,133.6,191.0,44.4,25.1,58.6
2021,846.9,873.4,880.2,49.8,71.8,30.9,797.1,801.6,849.3,186.7,309.4,204.0,2.7,10.5,1.4,4.8,7.9,13.0,263.1,266.9,301.4,115.3,69.9,101.6,37.9,51.0,15.3,4.4,2.4,1.2,180.9,130.3,184.9,51.1,25.1,57.4
2022,859.4,853.3,873.5,48.2,75.4,28.9,811.2,777.9,844.6,187.5,301.7,211.2,2.2,10.6,1.9,4.7,7.8,13.2,270.7,250.9,306.9,118.9,69.6,93.1,36.1,55.2,12.9,5.2,1.8,0.9,190.6,131.3,171.4,43.5,24.4,62.0
2023,870.0,881.4,823.3,46.2,75.9,30.3,823.8,805.5,793.0,175.4,326.3,190.8,2.2,10.5,1.9,4.2,8.2,13.3,279.2,260.8,290.5,124.6,65.3,92.5,34.9,55.1,14.2,4.9,2.1,0.9,201.1,130.8,157.4,43.5,22.3,61.8
